CONSTTK const
INTTK int
IDENFR const1
ASSIGN =
INTCON 1
COMMA ,
IDENFR const2
ASSIGN =
MINU -
INTCON 100
SEMICN ;
INTTK int
IDENFR change1
LBRACK [
INTCON 5
RBRACK ]
SEMICN ;
CHARTK char
IDENFR char1
ASSIGN =
INTCON 99
SEMICN ;
INTTK int
IDENFR gets1
LPARENT (
INTTK int
IDENFR var1
COMMA ,
CHARTK char
IDENFR var2
RPARENT )
LBRACE {
IDENFR const1
ASSIGN =
INTCON 999
SEMICN ;
IDENFR change1
ASSIGN =
IDENFR var1
PLUS +
IDENFR var2
SEMICN ;
RETURNTK return
LPARENT (
IDENFR change1
RPARENT )
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
IDENFR change1
ASSIGN =
INTCON 10
SEMICN ;
IDENFR gets1
LPARENT (
IDENFR const1
COMMA ,
IDENFR char1
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Hello World$"
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
